0,toxic
you simply display your ignorance fatuorum,1
"ha do n't be silly you said that you were going to suspend me for saying that you were dishonest you said , accusing me of lying is really not cool and then you said , just go through my edit history and you can see the story for yourself and then you said if you feel that it 's accurate i ask you to provide a link to an appropriate diff so i did and found out that you are a total liar i do not accept that you forgot about num edits to and for ryulong the notion is silly not only was it num interactions instead of num , but num of the num were actually grooming tips on how to impress the voters ! unbelieveable ! \( please see links above for substantiation \) the other notion that you keep repeating and repeating is that i am uncivil and that i have personally attacked you on this page liar is not an adjective i have tried so hard not to call you a name for this incessant debating which you have n't been so good at ! so you keep hinting that you 're going to extend my block for personal attacks but there have been none i took the prove i'm a liar challenge and you got burned now go away !",1
and also admit being dick that time,1
"boring ! ! ! ! ! ! stay out of it sister , go catch vandals elsewhere you ai n't gonna find any here !",1
"if a group of christians kill a hindu , do you think it matters if hindus are majority in the state \? do n't think you are propagating the lie that only majority kills minority \? no ! only local majority kills local minority if you want to somehow show that terrorism separation movement is not religious in nature , then you might as well show me data about how some planets are changing my future , or that evolution is wrong talk",1
"are you retarded \? the owner of the label tweeted that he was with their team , so how obvious much more reliable do you people need it to be \? yeah , actually they are right most of the time but you abuse your power on the site the edits i did on love more by chris brown , crooked smile by j cole , jay z 's single being platinum and the sales for several hip hop albums were all correct but you 're too butthurt to not undue them because it was n't directly posted by billboard until a few days later",1
"\? \? \? in what way is saying its useful an npov issue \? \? if someone uses this for something , then its useful in my case , i am reading an article on markov logic networks , wherein linguistic reification is one of the early steps , followed by conversion to a lambda calculus form , and then many other steps in this calculation , reification is a crucial step the natural stupidity article cited probably just says that using reified forms \( aka qlf 's or quasi logical forms \) in certain ways is stupid it cannot claim that qlf 's in and of themsels are useless",1
i find that offensive that u said i entered a boxing ring with a hand gun and shot the opponent and won first of all i box and when u accuse a boxer of cheating its like saying ur gonna kill my family and secondly i sell guns and i would never shot an opponent without good reason,1
i am trying so hard not to loose my temper sarah stop deleting the category of whovians why do you keep deleting it why why why,1
"here 's your idea of discussion at chess article talk threads , remember this post \? hi ihardlythinkso on talk checkmate , i asked that we not interact further , and that you refrain from addressing me yet , you 've done so num times in the past day , including inserting yourself into a conversation between me and eric i requested that we not interact further after you indicated you did n't want to waste time responding to my future edits i was hoping such an agreement would be beneficial to us both please respect my request i do n't want to interact with you further , and you 've indicated you want the same , so let 's part ways amicably , please thanks jess now you come here playing wiki defender , wiki cop , when the three articles i removed my contributions from have nothing to do with you \( i see right through your transparent crap , mann jess you have a need for dominance and one upmanship , and have taken the opportunity here to threaten and lecture when has nothing to do with you , just to fluff your obsession and ego while all the time playhing innocent and collaborative dishonest and transparent bullcrap deceitful assholery quit harassing me , jerk",1
"this stub sucks sorry but this is a major museum , and i ca n't find it in wikipedia there are several images in wikipedia of vehicles which are in the museum , including the tank with david cerny painted pink in num \( one of those pictures is by me , but there are others \)",1
hmm do n't like you ! num num num num,1
"i also find it interesting that after txmaster and nsuboy were blocked from editing , mia2007 pops up as well as this ip address which resolves to somewhere in oklahoma start to pop up claiming the same information pathetic i tell you",1
if you 've lived in fairfield county since colonial times why dont you root for your local teams go back to new york \? face it we pretty much live in new york ny metropolitan area that means ny teams your local teams traitor !,1
the jews should be expunged,1
"no , maybe you should get a life instead of being like a shot to revert my vandalism on a page relating to a game nobody has talked about in the last two years wiki made you their bitch",1
stop changing my work listen you pimple faced punks vamp has been confirmed to return in mgs4 stop changing my work,1
"great nomination ! ! well done errant his articles are completely pointless and most of them are empty and the events they are regarding are unfinalized delete ! careful though , he will cry num num num num",1
"smear of james philip bio what are you trying to do , place a garbage truck and dump all this old stuff down on this bio \? all of the partisan yellow journalism crap which newspapers like to engage in these days all of this , over the years has resulted in nothing nothing all of the speculations , which the press engaged has come of nothing can you cite when pate was trialled , convicted , and sentenced by the courts \? no again , the stuff you cite is num years old or older and no actions by the state was ever taken against james philip , personally \? well , what you have here is a technique is called the big lie just because you do n't like the man , and just because you can cited tons of minutia do n't make it true , right or meeting wp blp , wp undue wp atk in the end there seems the need of some editors here who has such hatred for this man to use such zeal to destroy pate 's reputation see wp tend why such hatred for this man \?",1
axis of evil i would like to add that the usa is a war mongering country that has formed an axis of evil with georgia and israel to wipe out ossetians and palestinians http en wikipedia org wiki num south ossetia war,1
okay king of the wikipedia nazis,1
fukk it im goin num encyclopedia dramatica,1
"ok you like i said this is my world , i decide what happens if i say lil chris died of malaria , then it happened end of just me saying it automatically makes it true , therefore it is an accurate edit get it \?",1
rick santorum sodomized children ! ! ! ! !,1
"you do not own misterioso , and you do not own me bye bye bully",1
hey antandrus your dead i will get u,1
"hate ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! well , i know that you despise me like tanthony , sandchigger , juppiter many others here on wiki if someone is an escorrt , then they should be in the prostitution caty yrgh",1
"how do you fit twenty four jews in a v w \? two in the back , two in the front and twenty in the ash trays",1
wikipedia is run by socialists ! ! ! ! ! ! ! ! rev wright and barack spent num years together he is a black liberaton theologist he returned churchill 's bust because michelle said he had too since england was involved with the slave trade ! ! ! ! !,1
"ravenkills97 i did n't change the genres on in this moment , all i did was put commas in between the genres u gave me a final warning for no reason all because i put commas in between something , like it fucking erases the genre",1
"i really do n't know , because the gnu license says that anything we put on our user pages or articles can be copied but it still pisses me off to know that he took everything on our user pages our personal information , our userboxes , and even current events that happened to us it 's sick and it must stop \( talk \)",1
k then tell me how i am making personal attacks when i posted a civilized message on a talk page i can always change my ip so you 'd do well to ansewr my question rather than puttin ga template up because you 're too lazy to type,1
so what if nazis are excluded \? psychopathic murderers have no rights,1
polish go back to your own country we 've enough of you lot as it is ! num num num num,1
"dear the hybrid , you are what we in my family call a penal toad , i sincerely hope someone kicks you in the balls if you have any",1
"bitchbuss one more sticking of your nose , and you 'll lose it !",1
"lmao , that 's basically saying wahhh he called me dumb me gunna block him nice use of those admin powers , now stay off my talk page",1
"hello , nawlins why do you like to deflower prepubescent girls \? don t you know that s a felony \? num num num num",1
social skills i'm curious whether you lack in social skills or if you are just a total jerk why do you keep reverting my friendly messages on your talk page \?,1
"or someone to tell tocino that he 's a huge douche please do n't break revert policy , my edit does not constitute vandalism tocino is a tool and a self righteous prick that much is obvious by his posts here stop defending idiocy , grsz num num num num",1
"feel free to ban me another week for that one , you lazy superficial jurists \)",1
"i will be allowed to answer this charge clown , this the real joe , and i never owned a red pickup truck , considering you live on a very busy county road , you would get red trucks roll by from time to time further more finding out who you are is very easy , since your have a very public presence on the internet and a google search on your name , beer , and wilber yields the answer , the stalkers , you fret about , may be any one of your many , many fans who you have disrespected with all or nothing approach on religion and politics over the years you should grow up and learn there are other points of view out and learn to respect them you seem not to have the ability , based on your long history on wikipedia you are truly small and delusional man num num num num",1
"hi are you blind \? why does the cast have to be in that order \? i gave you the website , and the cast list does n't need to be sources quit hating",1
user lessheard vanu what is your problem \? why did you block me without a warning \? i believe administrative abuse is prohibited i do n't even know you go get some mental help,1
"some chinese propagandiasts desperately make korean as language isolate , saying most linguists say korean is language isolate by the referece of the korean language \( song jae jung , p15 \) , but there 's no phrase like that stop distorting chinese shits , wikiepdia is n't a place for your propaganda",1
"re msg you must understand that the sentence in question was originally added as a joke \( by me , and i regret that \) , but later was restructured and even supported with a botched up evidence by someone with a vested interest of laundering the effects of msg there is no evidence of the effects on humans being different from that on rats the supporting study that i keep deleting is a non scientific survey gimme a break ! some freakin survey is used to prove that msg does not cause obesity in people \? \? \? just flip a few weeks back in the history and you will see how the original subsection appeared",1
"ever think of asking me about it before you barge into my talkpage and started deleting stuff \? i never authorized you to do anything of the sort and now , instead of an apology , i get my intelligence insulted with this disingenous attack but you have been so quick to judge me for an act of concern nice touch",1
\? \? they are thief they have stolen our name also they are national socialist,1
"if you read carefully , my comment was overall a debate of the issues it simply ended with a request about not beating a dead horse although it may have been rude , this can hardly be interpreted as a personal attack you are blowing things out of proportion because you obviously have nothing else to do than be a bully",1
"if you feel the argument is dumb please feel free to disappear from it , we wo n't miss you as for your national bias i can point to the num day rigged poll you ran on the mega cd page to rename it to the non notable yank name without other editors being aware and with out time to respond or refute the name change , it was just another snatch and grab on a name by you nationalist yanks92 num num num",1
"cumulus clouds , you should block yourself from editing cause you vandalized me when i just put an external link about kircher case in the section external links of kircher case i did a perfect and minimal edit , useful and respectful of all rules you vandalized",1
"hadith 's of the prophet mohammed sallalahu alayhi we sellem esselamu aleikum we rahmetullah brother do you know what hadith means \? why did u revert my edits when they are not in discrepancy with the etymology , i have translated the word the word does n't mean tradition ok \? there 's another word in arabic which means tradition what business do you have editing islam topics you not being muslim , and if you are muslim how can you not know what hadith is so please go edit some athiest posts now if u are muslim go get a hadith book and leanr what it is and quit spreading lies about tradition , ok \? if you keep spreading this lie may god break your leg thankx are you afraid \?",1
knob jockey you gay for deleting factory the musical,1
"excuse me ! \? ! do n't be deleteing my stuff llike something is wrong with you , i post what i please good lord , i come on here passing on info that i heard on the news and folk telling me it 's a hoax , little snobby ass people around here",1
autism this user is believed to be a highly functioning autist with severe mental retardation,1
"molag bal , and his daedric puppets , are dead",1
"once again the tyranny of liberal opinions rules over all , just like the nazis or facists",1
"yeah , he said he 'd never heard of ferrara , what a crook , the name bad lieutenant just appeared to him in a german sausage",1
welcome to the nazi website where 's hitler \?,1
"criticism of jesus plucking eyeballs out slavery jesus has been criticized as vindictive , intolerant , prudish , and unkind several scholars have noted that he appears to condone slavery tabtab tab the cardinal avery robert dulles stated that jesus said not a word against slavery as a social institution , and believes that the writers of the new testament did not oppose slavery either in his paper published in evangelical quarterly , kevin giles notes that jesus often encountered slavery , but not one word of criticism did the lord utter against slavery , and argues that jesus must have then condoned it tabtab how come the catholic removed this section in his words because it did n't appear to be criticism is this a joke \? tab friedrich nietsche argued that a war was declared on passion in the sermon on the mount , in which jesus says of sexual temptation if thy eye offend thee , pluck it out according to nietsche , destroying the passions and cravings , merely as a preventive measure against their stupidity and the unpleasant consequences of this stupidity , today this itself strikes us as merely another acute form of stupidity we no longer admire dentists who pluck out teeth so that they will not hurt any more the christian who follows that advice and believes he has killed his sensuality is deceiving himself it lives on in an uncanny vampire form and torments in repulsive disguises friedrich nietzsche , num , human all too human a book for free spirits , the wanderer and his shado , aphorism num",1
"runescape is gay , everyone join world of warcraft i need recruits for a guild !",1
"he 's just left handed , and left handed people can make silly things happen ! \)",1
"this is such a joke and proves wikipedia is a joke there is no need for this page , it was a little quake every time a pen drops a new wikipeida page pops up delete this page or it proves wikipidea is a joke num num num num",1
intro should say that the tea party are a white far right racist nazi scum group,1
"thanks , but no thanks i do n't have time like some people who spend all their free time on here i would rather spend my free time to volunteer in real life instead of wasting it on this useless web site full of errors and communist propagandas",1
oppose iset \? crazy,1
"i find jpgordon 's claims to be bogus none of those are personal attacks as they are not addressed to any specific person furthermore , i now have doubts about the intentions of jpgordon as he has refused to block canderra despite canderra 's violation of the numrr rule \( num reverts in num hours \) see revert num and num compared http en wikipedia org w index php \? title che guevara diff num oldid num i also think it is a bit suspect that num other leftists editors jump on board immediatly following my block and work to revert and discuss once i'm gone and find it a bit more suspect that these leftists and jpgordon accuse some anonymous ip address as being me talk about good faith canderra 's claims are idiotic at best i am not surprised that the leftists do n't care as they have shown no dicipline for allowing information contrary to their own beliefs even the most insane excuses are accepted by them saying these this behavior is idiotic or stupid is reasonable given the fact that this material is deleted because canderra believes the sources to be blogs not one source is a blog the new york sun , usa today , frontpage magazine , florida international university , history news network , and the independent research institute are not blogs canderra is just making up excuses to delete information he does not like and the leftists sycophants are working to have me blocked while ignoring canderra 's \( and others \) abuses \( gibby \)",1
talkback goddammit ! this was so much easier when you were a sysop get your bit back directly,1
"what is anonymous \? all in all , anonymous is a bunch of ugly basement dwellers with no lives they originated from numchan , which was created by some num year old nerd from somethingawful com forums obviously the majority of these anonymous rejects are hideous , and have long hair and are hippies protest all you want , normal people just laugh at you and call you queer just stay on numchan no one wants you lurking around other place except numchan and you parents basement stick to your rules rules num and num preceding unsigned comment added by \( talk contribs \) its amusing how you can rant and rave about how 'ugly' and 'queer' the citizens of anonymous are in your biased , apparently right wing , homophobic imagination regardless os anyone 's opinion of the group in question , this is not a forum for discussion of the topic , so please refrain from posting this sort of material in future do you liek mudkipz \? why is it that anyone who uses the internet has to be a basement dweller \? itt sweeping generalizations and steretypes",1
"this is a shared ip do n't mind us , there are lots of shitheads",1
"sennen goroshi , entire fifa is corrupted even japan is part of this larger corrupted organization , this claim of yours is stupidkorsentry",1
"revision the darth maul biography needs to be updated ! anyone agree ! \? master unknown , december num , num i do ! the terminator , december num , num i tried to update it , but some fucking ass pounder charged it ! and it looked good , too ! ahnuld , january num , num",1
you again with the death threats \? blocked \( check ! \),1
"awww , does big man get vewy angwy when piggy make fun \? awwww that 's terwible ! masterbatingky , i do n't think you 're stupid because of grammar , spelling , etc i could n't care less about those things on talk pages i think you 're stupid for other reasons but we 're supposed to be nice to each other , apparently , or else we 're going to get banned and you know that i ca n't have that , since wikipedia is everything to me i must say , however , that i'm starting to get awfully turned on by you repeatedly calling me a fagg if you 're ever in the dc area and want to look me up , who 's your boy \? i'm your boy , big boy ! and you know it , 'yo ! thanks !",1
naked body woman 's breast,1
"what 's the point in templating me \? seriously \? i 've read every single one hundreds of times before cunt is , at the end of the day , a word people who are offended by it choose to be and , to be fair , he was a cunt talk to me",1
"way to ignore the discussion and my points you bureaucracy obsessed aspie coming here from a link to the page is n't against any rules calling you a tard is , tard you arent participating in the discussion at all youre refusing to because youre an irrational japanophile",1
dave ! lol you have so many user names ! ! ! you 're a fraud dave,1
